
# Surface 0 of 1 surfaces

# Curve title: ""ml-maths-2_contourtmp6.dat""

# Contour 0, label:       10
-5 -5  10 


# Contour 1, label:        9
 4.99984 -4.00016  9 
 4.83332 -4.16668  9 
 4.58318 -4.41682  9 
 4.41666 -4.58334  9 
 4.16652 -4.83348  9 
 4 -5  9 

-5 -4  9 
-4.83332 -4.16668  9 
-4.58334 -4.41666  9 
-4.41666 -4.58334  9 
-4.16668 -4.83332  9 
-4 -5  9 

 4.00016  4.99984  9 
 4.16652  4.83348  9 
 4.41682  4.58318  9 
 4.58318  4.41682  9 
 4.83348  4.16652  9 
 4.99984  4.00016  9 

-4.00016  4.99984  9 
-4.16668  4.83332  9 
-4.41682  4.58318  9 
-4.58334  4.41666  9 
-4.83348  4.16652  9 
-5  4  9 


# Contour 2, label:        8
 4.99984 -3.00016  8 
 4.66664 -3.33336  8 
 4.58318 -3.41682  8 
 4.24998 -3.75002  8 
 4.16652 -3.83348  8 
 3.83332 -4.16668  8 
 3.74986 -4.25014  8 
 3.41666 -4.58334  8 
 3.3332 -4.6668  8 
 3 -5  8 

-5 -3  8 
-4.66664 -3.33336  8 
-4.58334 -3.41666  8 
-4.24998 -3.75002  8 
-4.16668 -3.83332  8 
-3.83332 -4.16668  8 
-3.75002 -4.24998  8 
-3.41666 -4.58334  8 
-3.33336 -4.66664  8 
-3 -5  8 

 3.00016  4.99984  8 
 3.3332  4.6668  8 
 3.41682  4.58318  8 
 3.74986  4.25014  8 
 3.83348  4.16652  8 
 4.16652  3.83348  8 
 4.25014  3.74986  8 
 4.58318  3.41682  8 
 4.6668  3.3332  8 
 4.99984  3.00016  8 

-3.00016  4.99984  8 
-3.33336  4.66664  8 
-3.41682  4.58318  8 
-3.75002  4.24998  8 
-3.83348  4.16652  8 
-4.16668  3.83332  8 
-4.25014  3.74986  8 
-4.58334  3.41666  8 
-4.6668  3.3332  8 
-5  3  8 


# Contour 3, label:        7
 4.99984 -2.00016  7 
 4.91662 -2.08338  7 
 4.58318 -2.41682  7 
 4.49996 -2.50004  7 
 4.16652 -2.83348  7 
 4.0833 -2.9167  7 
 3.74986 -3.25014  7 
 3.66664 -3.33336  7 
 3.3332 -3.6668  7 
 3.24998 -3.75002  7 
 2.91654 -4.08346  7 
 2.83332 -4.16668  7 
 2.49988 -4.50012  7 
 2.41666 -4.58334  7 
 2.08322 -4.91678  7 
 2 -5  7 

-5 -2  7 
-4.91662 -2.08338  7 
-4.58334 -2.41666  7 
-4.49996 -2.50004  7 
-4.16668 -2.83332  7 
-4.0833 -2.9167  7 
-3.75002 -3.24998  7 
-3.66664 -3.33336  7 
-3.33336 -3.66664  7 
-3.24998 -3.75002  7 
-2.9167 -4.0833  7 
-2.83332 -4.16668  7 
-2.50004 -4.49996  7 
-2.41666 -4.58334  7 
-2.08338 -4.91662  7 
-2 -5  7 

 2.00016  4.99984  7 
 2.08322  4.91678  7 
 2.41682  4.58318  7 
 2.49988  4.50012  7 
 2.83348  4.16652  7 
 2.91654  4.08346  7 
 3.25014  3.74986  7 
 3.3332  3.6668  7 
 3.6668  3.3332  7 
 3.74986  3.25014  7 
 4.08346  2.91654  7 
 4.16652  2.83348  7 
 4.50012  2.49988  7 
 4.58318  2.41682  7 
 4.91678  2.08322  7 
 4.99984  2.00016  7 

-2.00016  4.99984  7 
-2.08338  4.91662  7 
-2.41682  4.58318  7 
-2.50004  4.49996  7 
-2.83348  4.16652  7 
-2.9167  4.0833  7 
-3.25014  3.74986  7 
-3.33336  3.66664  7 
-3.6668  3.3332  7 
-3.75002  3.24998  7 
-4.08346  2.91654  7 
-4.16668  2.83332  7 
-4.50012  2.49988  7 
-4.58334  2.41666  7 
-4.91678  2.08322  7 
-5  2  7 


# Contour 4, label:        6
 4.99984 -1.00016  6 
 4.74994 -1.25006  6 
 4.58318 -1.41682  6 
 4.33328 -1.66672  6 
 4.16652 -1.83348  6 
 3.91662 -2.08338  6 
 3.74986 -2.25014  6 
 3.49996 -2.50004  6 
 3.3332 -2.6668  6 
 3.0833 -2.9167  6 
 2.91654 -3.08346  6 
 2.66664 -3.33336  6 
 2.49988 -3.50012  6 
 2.24998 -3.75002  6 
 2.08322 -3.91678  6 
 1.83332 -4.16668  6 
 1.66656 -4.33344  6 
 1.41666 -4.58334  6 
 1.2499 -4.7501  6 
 1 -5  6 

-5 -1  6 
-4.74994 -1.25006  6 
-4.58334 -1.41666  6 
-4.33328 -1.66672  6 
-4.16668 -1.83332  6 
-3.91662 -2.08338  6 
-3.75002 -2.24998  6 
-3.49996 -2.50004  6 
-3.33336 -2.66664  6 
-3.0833 -2.9167  6 
-2.9167 -3.0833  6 
-2.66664 -3.33336  6 
-2.50004 -3.49996  6 
-2.24998 -3.75002  6 
-2.08338 -3.91662  6 
-1.83332 -4.16668  6 
-1.66672 -4.33328  6 
-1.41666 -4.58334  6 
-1.25006 -4.74994  6 
-1 -5  6 

 1.00016  4.99984  6 
 1.2499  4.7501  6 
 1.41682  4.58318  6 
 1.66656  4.33344  6 
 1.83348  4.16652  6 
 2.08322  3.91678  6 
 2.25014  3.74986  6 
 2.49988  3.50012  6 
 2.6668  3.3332  6 
 2.91654  3.08346  6 
 3.08346  2.91654  6 
 3.3332  2.6668  6 
 3.50012  2.49988  6 
 3.74986  2.25014  6 
 3.91678  2.08322  6 
 4.16652  1.83348  6 
 4.33344  1.66656  6 
 4.58318  1.41682  6 
 4.7501  1.2499  6 
 4.99984  1.00016  6 

-1.00016  4.99984  6 
-1.25006  4.74994  6 
-1.41682  4.58318  6 
-1.66672  4.33328  6 
-1.83348  4.16652  6 
-2.08338  3.91662  6 
-2.25014  3.74986  6 
-2.50004  3.49996  6 
-2.6668  3.3332  6 
-2.9167  3.0833  6 
-3.08346  2.91654  6 
-3.33336  2.66664  6 
-3.50012  2.49988  6 
-3.75002  2.24998  6 
-3.91678  2.08322  6 
-4.16668  1.83332  6 
-4.33344  1.66656  6 
-4.58334  1.41666  6 
-4.7501  1.2499  6 
-5  1  6 


# Contour 5, label:        5
 4.07342e-08  4.99984  5 
 0.41658  4.58342  5 
 0.41682  4.58318  5 
 0.83324  4.16676  5 
 0.83348  4.16652  5 
 1.2499  3.7501  5 
 1.25014  3.74986  5 
 1.66656  3.33344  5 
 1.6668  3.3332  5 
 2.08322  2.91678  5 
 2.08346  2.91654  5 
 2.49988  2.50012  5 
 2.50012  2.49988  5 
 2.91654  2.08346  5 
 2.91678  2.08322  5 
 3.3332  1.6668  5 
 3.33344  1.66656  5 
 3.74986  1.25014  5 
 3.7501  1.2499  5 
 4.16652  0.83348  5 
 4.16676  0.83324  5 
 4.58318  0.41682  5 
 4.58342  0.41658  5 
 4.99984  4.07342e-08  5 

-0.00015999  4.99984  5 
-0.41674  4.58326  5 
-0.8334  4.1666  5 
-1.25006  3.74994  5 
-1.66672  3.33328  5 
-2.08338  2.91662  5 
-2.50004  2.49996  5 
-2.9167  2.0833  5 
-3.33336  1.66664  5 
-3.75002  1.24998  5 
-4.16668  0.83332  5 
-4.58334  0.41666  5 
-4.99992 -7.999e-05  5 
-4.58334 -0.41666  5 
-4.16668 -0.83332  5 
-3.75002 -1.24998  5 
-3.33336 -1.66664  5 
-2.9167 -2.0833  5 
-2.50004 -2.49996  5 
-2.08338 -2.91662  5 
-1.66672 -3.33328  5 
-1.25006 -3.74994  5 
-0.8334 -4.1666  5 
-0.41674 -4.58326  5 
-7.999e-05 -4.99992  5 
 0.41658 -4.58342  5 
 0.83324 -4.16676  5 
 1.2499 -3.7501  5 
 1.66656 -3.33344  5 
 2.08322 -2.91678  5 
 2.49988 -2.50012  5 
 2.91654 -2.08346  5 
 3.3332 -1.6668  5 
 3.74986 -1.25014  5 
 4.16652 -0.83348  5 
 4.58318 -0.41682  5 
 4.99984 -0.00015999  5 


# Contour 6, label:        4
-7.999e-05  3.99992  4 
-0.25014  3.74986  4 
-0.41674  3.58326  4 
-0.6668  3.3332  4 
-0.8334  3.1666  4 
-1.08346  2.91654  4 
-1.25006  2.74994  4 
-1.50012  2.49988  4 
-1.66672  2.33328  4 
-1.91678  2.08322  4 
-2.08338  1.91662  4 
-2.33344  1.66656  4 
-2.50004  1.49996  4 
-2.7501  1.2499  4 
-2.9167  1.0833  4 
-3.16676  0.83324  4 
-3.33336  0.66664  4 
-3.58342  0.41658  4 
-3.75002  0.249916  4 
-3.99992 -7.999e-05  4 
-3.75002 -0.24998  4 
-3.58326 -0.41674  4 
-3.33336 -0.66664  4 
-3.1666 -0.8334  4 
-2.9167 -1.0833  4 
-2.74994 -1.25006  4 
-2.50004 -1.49996  4 
-2.33328 -1.66672  4 
-2.08338 -1.91662  4 
-1.91662 -2.08338  4 
-1.66672 -2.33328  4 
-1.49996 -2.50004  4 
-1.25006 -2.74994  4 
-1.0833 -2.9167  4 
-0.8334 -3.1666  4 
-0.66664 -3.33336  4 
-0.41674 -3.58326  4 
-0.24998 -3.75002  4 
-7.999e-05 -3.99992  4 
 0.249916 -3.75002  4 
 0.41658 -3.58342  4 
 0.66664 -3.33336  4 
 0.83324 -3.16676  4 
 1.0833 -2.9167  4 
 1.2499 -2.7501  4 
 1.49996 -2.50004  4 
 1.66656 -2.33344  4 
 1.91662 -2.08338  4 
 2.08322 -1.91678  4 
 2.33328 -1.66672  4 
 2.49988 -1.50012  4 
 2.74994 -1.25006  4 
 2.91654 -1.08346  4 
 3.1666 -0.8334  4 
 3.3332 -0.6668  4 
 3.58326 -0.41674  4 
 3.74986 -0.25014  4 
 3.99992 -7.999e-05  4 
 3.74986  0.250076  4 
 3.58342  0.41658  4 
 3.3332  0.6668  4 
 3.16676  0.83324  4 
 2.91654  1.08346  4 
 2.7501  1.2499  4 
 2.49988  1.50012  4 
 2.33344  1.66656  4 
 2.08322  1.91678  4 
 1.91678  2.08322  4 
 1.66656  2.33344  4 
 1.50012  2.49988  4 
 1.2499  2.7501  4 
 1.08346  2.91654  4 
 0.83324  3.16676  4 
 0.6668  3.3332  4 
 0.41658  3.58342  4 
 0.250076  3.74986  4 
-7.999e-05  3.99992  4 


# Contour 7, label:        3
-7.999e-05  2.99992  3 
-0.08346  2.91654  3 
-0.41674  2.58326  3 
-0.50012  2.49988  3 
-0.8334  2.1666  3 
-0.91678  2.08322  3 
-1.25006  1.74994  3 
-1.33344  1.66656  3 
-1.66672  1.33328  3 
-1.7501  1.2499  3 
-2.08338  0.91662  3 
-2.16676  0.83324  3 
-2.50004  0.49996  3 
-2.58342  0.41658  3 
-2.9167  0.083172  3 
-2.99992 -7.999e-05  3 
-2.9167 -0.0833  3 
-2.58326 -0.41674  3 
-2.50004 -0.49996  3 
-2.1666 -0.8334  3 
-2.08338 -0.91662  3 
-1.74994 -1.25006  3 
-1.66672 -1.33328  3 
-1.33328 -1.66672  3 
-1.25006 -1.74994  3 
-0.91662 -2.08338  3 
-0.8334 -2.1666  3 
-0.49996 -2.50004  3 
-0.41674 -2.58326  3 
-0.0833 -2.9167  3 
-7.999e-05 -2.99992  3 
 0.083172 -2.9167  3 
 0.41658 -2.58342  3 
 0.49996 -2.50004  3 
 0.83324 -2.16676  3 
 0.91662 -2.08338  3 
 1.2499 -1.7501  3 
 1.33328 -1.66672  3 
 1.66656 -1.33344  3 
 1.74994 -1.25006  3 
 2.08322 -0.91678  3 
 2.1666 -0.8334  3 
 2.49988 -0.50012  3 
 2.58326 -0.41674  3 
 2.91654 -0.08346  3 
 2.99992 -7.999e-05  3 
 2.91654  0.083332  3 
 2.58342  0.41658  3 
 2.49988  0.50012  3 
 2.16676  0.83324  3 
 2.08322  0.91678  3 
 1.7501  1.2499  3 
 1.66656  1.33344  3 
 1.33344  1.66656  3 
 1.2499  1.7501  3 
 0.91678  2.08322  3 
 0.83324  2.16676  3 
 0.50012  2.49988  3 
 0.41658  2.58342  3 
 0.083332  2.91654  3 
-7.999e-05  2.99992  3 


# Contour 8, label:        2
-7.999e-05  1.99992  2 
-0.33344  1.66656  2 
-0.41674  1.58326  2 
-0.7501  1.2499  2 
-0.8334  1.1666  2 
-1.16676  0.83324  2 
-1.25006  0.74994  2 
-1.58342  0.41658  2 
-1.66672  0.333248  2 
-1.99992 -7.999e-05  2 
-1.66672 -0.33328  2 
-1.58326 -0.41674  2 
-1.25006 -0.74994  2 
-1.1666 -0.8334  2 
-0.8334 -1.1666  2 
-0.74994 -1.25006  2 
-0.41674 -1.58326  2 
-0.33328 -1.66672  2 
-7.999e-05 -1.99992  2 
 0.333248 -1.66672  2 
 0.41658 -1.58342  2 
 0.74994 -1.25006  2 
 0.83324 -1.16676  2 
 1.1666 -0.8334  2 
 1.2499 -0.7501  2 
 1.58326 -0.41674  2 
 1.66656 -0.33344  2 
 1.99992 -7.999e-05  2 
 1.66656  0.333408  2 
 1.58342  0.41658  2 
 1.2499  0.7501  2 
 1.16676  0.83324  2 
 0.83324  1.16676  2 
 0.7501  1.2499  2 
 0.41658  1.58342  2 
 0.333408  1.66656  2 
-7.999e-05  1.99992  2 


# Contour 9, label:        1
-7.999e-05  0.99992  1 
-0.16676  0.83324  1 
-0.41674  0.58326  1 
-0.58342  0.41658  1 
-0.8334  0.166504  1 
-0.99992 -7.999e-05  1 
-0.8334 -0.1666  1 
-0.58326 -0.41674  1 
-0.41674 -0.58326  1 
